id,title,author,year,resource_type,availability,abstract
4171031,Negeren filosofen de prehistorie? Een reactie,"Corbey, R.                                                         2024",,Article / Letter to editor,open access,"In a recent issue of the ANTW, Corijn van Mazijk regrets philosophers’ complete (sic) lack of interest in human prehistory. He proposes a new (sub-) discipline: philosophy of prehistory. However, much research along these lines has already been conducted, not least from the phenomenological perspective Van Mazijk recommends, both by philosophers and archaeologists. This research can stimulate a philosophy of early hominin lifeworlds, intentionality and agency, which thus does not have to start from scratch."
4175358,Diverse prehistoric cattle husbandry strategies in the forests of Central Europe,"Gillis, R.E.; Kendall, I.P.; Roffet-Salque, M.; Zanon, M.; Anders, A.; Arbogast, R.-M.; ... ; Evershed, R.P.                                                         2024",,Article / Letter to editor,open access,"During the sixth millennium bce, the first farmers of Central Europe rapidly expanded across a varied mosaic of forested environments. Such environments would have offered important sources of mineral-rich animal feed and shelter, prompting the question: to what extent did early farmers exploit forests to raise their herds? Here, to resolve this, we have assembled multi-regional datasets, comprising bulk and compound-specific stable isotope values from zooarchaeological remains and pottery, and conducted cross-correlation analyses within a palaeo-environmental framework. Our findings reveal a diversity of pasturing strategies for cattle employed by early farmers, with a notable emphasis on intensive utilization of forests for grazing and seasonal foddering in some regions. This experimentation with forest-based animal feeds by early farmers would have enhanced animal fertility and milk yields for human consumption, concurrently contributing to the expansion of prehistoric farming settlements and the transformation of forest ecosystems. Our study emphasizes the intricate relationship that existed between early farmers and forested landscapes, shedding light on the adaptive dynamics that shaped humans, animals and environments in the past."
4209433,IUP Technological Signatures or Mousterian Variability? The Case of Riparo l'Oscurusciuto (Southern Italy),"Carmignani, L.; Soressi, M.A.; Ronchitelli, A.; Boschin, F.                                                         2024",,Article / Letter to editor,open access,"In the Italian peninsula, the Late Middle Paleolithic exhibits significant technological diversity, featuring blades, points, and bladelets. Assemblages displaying these distinctive characteristics have, in some cases, been labeled as Musteriano evoluto or Evolved Mousterian, and they are interpreted as contributing to the technological and typological variability within the Middle Paleolithic. In this study, we report the results of a detailed technological analysis of the lithics recovered from the latest layers preserved at Riparo l’Oscurusciuto (SU1 to SU3) in southern Italy. These layers were previously attributed to the Late Mousterian based on their chronological age and a preliminary techno/typological analysis of a small number of artifacts. Our comprehensive analysis of entire assemblages reveals the presence of original technological features, including blades, bladelets, and specific production of micro-points on flake cores. Some of these technological traits are comparable to those recently described at Grotte Mandrin in south-eastern France, which have been attributed to an early phase of the Initial Upper Paleolithic and associated with one modern human tooth. The study confirms the variability of the Late Middle Paleolithic in southern Italy and emphasizes the necessity to reassess it considering recent theories on the earlier arrival ofin Europe and their potential interaction with local populations."
4175574,"Erfgoed gezocht: grafheuvels, zichtbare restanten van een prehistorisch landschap","Kaptijn, E.; Bourgeois, Q.; Verschoof-van der Vaart, W.; Lambers, K.                                                         2024",,Part of book or chapter of book,open access,
4177610,Geweld in de bronstijd onderzocht. Experimenteren met wapens,"Gentile, V.                                                         2024",,Part of book or chapter of book,open access,
4177612,Een puntig probleem. De speerpunt van Tollebeek,"Gentile, V; Steffens, B.                                                         2024",,Part of book or chapter of book,open access,
4098113,"Plain of plenty: farming practices, food production, and the agricultural potential of the Late Bronze Age (1600-1200 BCE) Argive Plain, Greece","Timonen, R.E.                                                         2024",,Doctoral Thesis,open access,"The Argive Plain in the northeastern Peloponnese, Greece, was a key region of Mycenaean culture during the Late Bronze Age (1600–1200 BCE). While its central settlements are known for their architecture, burial treasures, and written records, less is known about its agricultural communities. This study examines Mycenaean farming strategies and their societal impacts, exploring potential resource depletion in the Argive Plain area. By using an agricultural potential model, which analyses food consumption, energy needs, and land usage, the research reconstructs Mycenaean farming practices and assesses their sustainability. The resultss suggest that Mycenaean farmers practiced sustainable agriculture, adapting to challenges such as drought and crop losses. Nevertheless, the Argive Plain rural communities may have struggled to meet the additional demands of ruling elites. The study also reviews earlier estimates of the land needed to sustain one person during the Bronze Age, highlighting the overlooked importance of livestock. The inclusion of dairy and meat production in future models could significantly affect our understanding of ancient food production and environmental sustainability. Ultimately, the research provides insights into the agricultural systems and societal structures of Mycenaean society prior to the Bronze Age collapse."
4175681,Cursed in clay: object lives of Egyptian curse figurines in Leiden,"Braekmans, D.J.G.; Soliman, D.; Boschloos, V.; Hameeuw, H.; Van der Perre, A.                                                         2024",,Part of book or chapter of book,open access,
4178344,The world on a string,"Aerde, M. van; Langbroek, M.                                                         2024",,Part of book or chapter of book,open access,"By inventorying and analysing glass beads from the Egypt collection of the Rijksmuseum van Oudheden in Leiden, this project looks at how even the smallest archaeological objects can help us chart the global networks that connected large parts of the ancient world, up until 1000 CE. Glass beads remain a notoriously understudied category of archaeological material. Side-lined and traditionally often described as ‘trinkets for women’, beads were sometimes deemed too insignificant to depict in official archaeological reports. Until quite recently, apart from typological studies that approached glass beads as a complementary method for site-dating, bead research remained a relatively unknown field of expertise. But when we consider the wide-ranging archaeological potential of beads, they are actually highly suitable for a variety of research purposes: beads are durable, portable, ubiquitous, and highly variable objects that have been found in archaeological contexts spanning all across the globe. As such, they can be important datasets for an equally wide variety of studies of past cultures."
4170988,"From the wetlands to the farmyard: Osteometric approach to the presence of domestic geese and ducks in Zuid Holland, 150–1700 AD","Segovia de Kraker, N. de; Llorente‐Rodríguez, L.                                                         2024",,Article / Letter to editor,open access,"The history of domestic ducks (Anas platyrhynchos domesticus) and domestic greylaggeese (Anser anser domesticus) remains poorly understood. This is mainly caused bythe difficulty of identifying archaeological bones as domestic due to the existingoverlap in sizes. A recently published osteometrical methodology is applied that suc-cessfully allows to identify domestic forms and distinguish between anatid specieswith more confidence. Four archaeological assemblages from the Zuid Holland prov-ince in the Netherlands are reanalyzed, ranging from the Roman period to the 17thcentury AD.It is determined that domestic geese were present in the Netherlands since at least160–230 AD and domestic ducks since at least 585–725 AD. The latter might alsobe present in the Roman assemblage, but the evidence is inconclusive. Domestic spe-cies constitute only a small percentage of the total consumed anatids and do not sur-pass 15%–20% in any case, which is mainly caused by the weight of wildfowling inthe Netherlands. Chickens (Gallus gallus domesticus) were therefore much more prev-alent than domestic anatids in all assemblages. Taphonomical analysis did not showsubstantial differences between wild and domestic anatids. The sample size consid-ered in this project is likely too small and biased to accurately detect any kind of evo-lution through time."
