id,title,author,year,resource_type,availability,abstract
4039553,Correction: information battleground: conflict perceptions motivate the belief in and sharing of misinformation about the adversary,"Mazepus, H.; Osmundsen, Mathias; Bang Petersen, Michael; Toshkov, D.D.; Dimitrova, A.L.                                                         2024",,Article / Letter to editor,open access,
4107425,Active representation and equal treatment: the influence of bureaucrats' social background on discrimination,"Raaphorst, N.J.; Ashikali, T.S.; Groeneveld, S.M.                                                         2024",,Article / Letter to editor,open access,"Drawing on street-level discrimination literature and representative bureaucracy literature, we theorise that bureaucrats from social groups that have a lower status in society are less inclined to discriminate in evaluating citizen-clients than bureaucrats from higher status groups. We conducted a 2 × 2 vignette survey experiment among bureaucrats in Dutch street-level organisations (= 3109) in various organisational domains. The study shows mixed findings. We found evidence for discrimination and so-called reverse discrimination, revealing that bureaucrats ascribe more competence to higher status citizens, but lower trust at the same time. We did not find bureaucrats' own status background to matter in their biased evaluations."
4195638,Thematic section: Femicide – a persistence social issue,"Di Marco, M.H.; Dawson, M.                                                         2024",,Article / Letter to editor,open access,
4196559,Creating public value in frontline teams: an empirical exploration of shared leadership behaviour by frontline officials,"Osch, L.M. van; Groeneveld, S.M.; Kuipers, B.S.                                                         2024",,Article / Letter to editor,open access,"In this study, we aim to provide insight into the way in which frontline officials in teams employ leadership behaviour aimed at creating public value. We conducted 29 in-depth semi-structured narrative interviews with frontline officials and their direct supervisors from three teams in Dutch public organizations, to identify shared leadership behaviours used to stimulate decision-making based on a shared meaning of public value and to facilitate work processes that enable public value creation. Based on these findings, we formulate propositions to further study shared leadership mechanisms by frontline officials, and we point out recommendations to stimulate leadership within frontline teams."
4196557,Mundane dynamics: understanding collaborative governance approaches to 'big' problems through studying 'small' practices,"La Grouw, Y.; Woerd, O. van der; Visser, E.L.; Blijleven, W.                                                         2024",,Article / Letter to editor,open access,"Collaborative approaches to governance, policymaking, and administration are believed to provide means of adequately handling wicked problems. Simultaneously, many scholars have acknowledged the difficulty of collaboration in practice. In this article, we argue that understanding the ‘small’ practices of collaborative governance and actor-positioning processes illuminates why collaborative governance is such a challenging response to wicked problems. Instead of focussing on ‘big’ collaborative approaches to ‘big’ wicked problems, zooming in on mundane dynamics demonstrates the continuous work that governing and positioning processes require, exposing the provisional nature of elements that have been argued to be vital, such as mutual trust, reciprocity, long-term commitment, authority, or autonomy. Lastly, the mundane uncovers the importance of the material, spatial, and temporal organisation of actor-positioning processes and the potential of language to inhibit or enable collaborative governance. The article ends with a reflection on how analyses of mundane dynamics may help scholars, practitioners, policymakers, and citizens to understand their own processes of engagements in collaborative endeavours and possibly temper expectations."
4212363,Towards a human-rights-proof energy transition,"Dam, D.A.                                                         2024",,Blog entry,open access,"To meet their obligations under the Paris Agreement to mitigate their emissions of greenhouse gases, States need to quickly transition to a zero-carbon economy. Yet, concerns have arisen over the human rights implications of States’ energy transition programs. This blog argues that a ‘human-rights proof’ energy transition requires including human rights safeguards – such as procedural rights and risk and impact assessments - in the design and implementation of energy transition programs."
4195183,"Fear, helplessness, pain, anger: the narrated emotions of intimate femicide perpetrators in Latin America","Di Marco, M.H.; Sandberg, S.                                                         2024",,Article / Letter to editor,open access,"While studies of femicide perpetrators have focused on background factors, such as criminal history and mental health conditions, little attention has been paid to their individual experiences. Perpetrators emotions and sense-making have often been overlooked and even dismissed. With a micro-sociological approach to violence, we identify the narrated emotions involved in the perpetration of intimate femicide. The data gathered are based on 33 open-ended interviews with convicted male perpetrators from Argentina, Bolivia, Brazil, Chile, Honduras, Mexico, and Venezuela. We identify four main emotions reflecting participants' experiences of femicide: Fear, expressed through stories of women as threats to self, family, and community; helplessness, expressed through stories of men being trapped, judged, and persecuted; and pain, connected to stories of jealousy and belittlement. These lead to anger, expressed through stories of bodily reactions and losing control. The findings indicate that intimate femicide perpetrators resort to lethal violence to regulate self-worth and remediate actions they feel were disruptive. Our research demonstrates the importance of embodied and narrated emotions to understand femicides. We argue that viewing femicide as a product of a shared pervasive emotional economy highlights the role of emotions in maintaining a gendered social order."
,Theories of uncertainty communication: an interdisciplinary literature review,"Lammers, W.; Ferrari, S.; Wenmackers, S.; Pattyn, V.E.; Walle, S. van de                                                         2024",,Article / Letter to editor,open access,"This systematic literature review presents an interdisciplinary overview of theories tested in experiments on the effects of communicating uncertainty. Using a machine learning-aided pipeline, we selected and manually coded 413 experimental studies. We discuss core assumptions and predictions of the main theories of uncertainty communication. Most normative theorizing (e.g., Bayesianism, Expected Utility Theory) is rooted in Probability Theory, which is only suitable for addressing shallow and medium uncertainty. This explains the underrepresentation of experimental research into deep uncertainty communication. To foster a more comprehensive understanding of uncertainty communication effects, we identify research questions and theories deserving greater attention."
4209982,Reflections on the Russia-Ukraine war,"Rothman, M.; Peperkamp, L.; Rietjens, S.J.H.                                                         2024",,Book editorial,metadata only,
4039446,"OFAC, famine, and the sanctioning of Afghanistan: a catastrophic policy success","Hoye, J.M.                                                         2024",,Article / Letter to editor,open access,
4210350,In between digital war and peace,"Boeken, J.                                                         2024",,Article / Letter to editor,open access,"The world can be divided into a digital sphere and a physical sphere. Within the realm of the physical sphere, Michael Walzer’s Just War Theory stands as a prominent framework for understanding the ethics of warfare. Is his theoretical framework also applicable to the digital sphere? This article studies whether elements of Walzer’s theory can be adapted to the context of digital conflict. Walzer divides countries into zones of peace, zones of war, and in-between zones. A country could then, for example, be a physical zone of peace but a digital zone of war. This article explores in which ways the defining characteristics of the different zones can be found in the digital sphere. It concludes that the digital sphere should mostly be seen as an in-between zone, with the problem of very unclear borders. Regarding Walzer’s theory, while it offers valuable insights when applied to the digital sphere, difficulties arise, underscoring the necessity for further research to refine the principles of just war within the digital sphere."
4054819,The tip of the iceberg: exploring the landscape of policing in a digitalized world,"Easton, M.; Paepe, J. de; Aston, Liz; Clayton, E.                                                         2024",,Article / Letter to editor,open access,
4196328,Early childhood community practitioners’ analyses of new mother’s challenges in Alexandra township South Africa: a collaboration between academics and practitioners,"Klerk, J. de; Dawson, N.; Jo-Hsuan Chen, .J.-H.; Reich, F.M.; Delansay, D.; Kunst, M.; ... ; Matlaila, M.                                                         2024",,Article / Letter to editor,open access,
